task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1145	2e/652b8a	315950	predictSeurat (162)	CACHED	0	2025-01-31 19:34:07.895	3m	2m 55s	-	-	-	-	-
1158	67/b89d62	316181	predictSeurat (355)	CACHED	0	2025-01-31 21:26:08.088	2m 35s	2m 30s	-	-	-	-	-
1156	51/46db9d	315802	predictSeurat (3)	CACHED	0	2025-01-31 18:21:52.842	3m 35s	3m 30s	-	-	-	-	-
1150	71/b5c675	315905	predictSeurat (118)	CACHED	0	2025-01-31 19:10:22.851	4m 35s	4m 30s	-	-	-	-	-
1123	4d/9b1f82	315300	rfPredict (60)	CACHED	0	2025-01-31 17:43:12.906	1m 5s	60s	-	-	-	-	-
1152	10/5657c7	316036	predictSeurat (223)	CACHED	0	2025-01-31 20:12:32.950	3m 35s	3m 30s	-	-	-	-	-
1163	5e/3cd83e	316073	predictSeurat (267)	CACHED	0	2025-01-31 20:32:37.973	3m 5s	3m	-	-	-	-	-
1165	d4/47e1ad	316212	predictSeurat (399)	CACHED	0	2025-01-31 21:42:03.055	2m 35s	2m 30s	-	-	-	-	-
1167	33/77b78d	315866	predictSeurat (47)	CACHED	0	2025-01-31 18:53:12.826	2m 30s	2m 25s	-	-	-	-	-
1164	9c/131ebf	315933	predictSeurat (135)	CACHED	0	2025-01-31 19:25:12.873	3m 55s	3m 50s	-	-	-	-	-
1140	ff/db17ee	315302	rfPredict (104)	CACHED	0	2025-01-31 17:43:37.733	1m 5s	1m	-	-	-	-	-
1160	1d/16f4ea	316089	predictSeurat (311)	CACHED	0	2025-01-31 20:39:17.986	4m 25s	4m 20s	-	-	-	-	-
937	43/598c3a	317037	classifyAllSeurat (359)	CACHED	0	2025-02-01 01:02:18.308	1m 5s	1m	-	-	-	-	-
1159	51/d40847	315988	predictSeurat (179)	CACHED	0	2025-01-31 19:50:52.909	3m 25s	3m 20s	-	-	-	-	-
948	1f/59577a	316815	classifyAllSeurat (137)	CACHED	0	2025-02-01 00:10:03.229	1m 5s	1m	-	-	-	-	-
1155	5a/6081cd	315571	rfPredict (324)	CACHED	0	2025-01-31 18:08:52.842	1m 5s	60s	-	-	-	-	-
944	24/b00e73	317034	classifyAllSeurat (356)	CACHED	0	2025-02-01 01:01:13.320	1m 5s	1m	-	-	-	-	-
1146	72/06441d	315365	rfPredict (148)	CACHED	0	2025-01-31 17:49:22.847	1m 5s	1m	-	-	-	-	-
1151	96/82d8ae	315411	rfPredict (192)	CACHED	0	2025-01-31 17:54:47.786	1m 5s	1m	-	-	-	-	-
1153	87/0d841b	315457	rfPredict (236)	CACHED	0	2025-01-31 17:59:07.891	1m 5s	60s	-	-	-	-	-
1172	eb/121275	315387	rfPredict (169)	CACHED	0	2025-01-31 17:51:32.884	1m 5s	1m	-	-	-	-	-
1142	d4/554d72	316159	predictSeurat (294)	CACHED	0	2025-01-31 21:14:08.026	3m 45s	3m 40s	-	-	-	-	-
1161	30/21a6f8	315643	rfPredict (368)	CACHED	0	2025-01-31 18:13:12.914	1m 5s	60s	-	-	-	-	-
1154	3d/6c60bc	315499	rfPredict (280)	CACHED	0	2025-01-31 18:04:32.770	1m 5s	60s	-	-	-	-	-
1166	ce/042093	315717	rfPredict (412)	CACHED	0	2025-01-31 18:18:37.866	1m 5s	60s	-	-	-	-	-
1169	12/47cdff	315306	rfPredict (81)	CACHED	0	2025-01-31 17:43:47.844	1m 5s	1m	-	-	-	-	-
1170	70/dfd0bb	315338	rfPredict (125)	CACHED	0	2025-01-31 17:47:12.751	1m 5s	1m	-	-	-	-	-
1168	a3/e8677a	315275	rfPredict (37)	CACHED	0	2025-01-31 17:40:32.929	1m 5s	1m	-	-	-	-	-
1173	e4/cbcefd	315889	predictSeurat (91)	CACHED	0	2025-01-31 19:03:32.853	3m 5s	3m	-	-	-	-	-
1180	2c/23faf8	315841	predictSeurat (1)	CACHED	0	2025-01-31 18:40:22.817	3m 35s	3m 30s	-	-	-	-	-
916	46/0e4488	317042	classifyAllSeurat (364)	CACHED	0	2025-02-01 01:04:03.314	1m 5s	1m	-	-	-	-	-
932	6e/b7c7c0	316884	classifyAllSeurat (206)	CACHED	0	2025-02-01 00:28:03.325	1m 5s	1m	-	-	-	-	-
