cell_type	markers	shortname	family	organism	level
central nervous system macrophage	Ptprc, Mrc1, Tmem119, P2ry12	CNS macrophage	Non-neuron	mus_musculus	family
brain vascular cell	CLDN5, FLT1, PDGFRB	Vascular	Non-neuron	mus_musculus	family
neural stem cell	SOX2, NES, HES5	Neural stem	Neuroglioblast	mus_musculus	family
GABAergic interneuron	GAD1, GAD2	GABAergic	GABAergic	homo_sapiens	family
glutamatergic neuron	SLC17A7, SLC17A6	Glutamatergic	Glutamatergic	homo_sapiens	family
astrocyte	GFAP, AQP4	Astrocyte	Non-neuron	homo_sapiens	family
oligodendrocyte	MBP, MOG, PLP1	Oligodendrocyte	Non-neuron	homo_sapiens	family
oligodendrocyte precursor cell	PDGFRA, CSPG4	OPC	Non-neuron	homo_sapiens	family
microglial cell	PTPRC, CX3CR1, TMEM119, P2RY12	Microglia	Non-neuron	homo_sapiens	family
brain vascular cell	CLDN5, FLT1, PDGFRB	Vascular	Non-neuron	homo_sapiens	family
immune	PTPRC	Immune	Immune	homo_sapiens	family
VIP GABAergic interneuron	VIP	VIP	GABAergic	mus_musculus	class
pvalb GABAergic cortical interneuron	PVALB	PVALB	GABAergic	mus_musculus	class
sst GABAergic cortical interneuron	SST	SST	GABAergic	mus_musculus	class
lamp5 GABAergic cortical interneuron	LAMP5	LAMP5	GABAergic	mus_musculus	class
sncg GABAergic cortical interneuron	SNCG	SNCG	GABAergic	mus_musculus	class
L2/3-6 intratelencephalic projecting glutamatergic neuron	CUX2	L2/3-6 IT	Glutamatergic	mus_musculus	class
deep layer non-IT	FEZF2, TLE4	Deep non-IT	Glutamatergic	mus_musculus	class
hippocampal neuron	PROX1	Hippocampal	Glutamatergic	mus_musculus	class
Cajal-Retzius cell	RELN	Cajal-Retzius	Glutamatergic	mus_musculus	class
astrocyte	GFAP, AQP4	Astrocyte	Non-neuron	mus_musculus	class
brain vascular cell	CLDN5, PDGFRB	Vascular	Non-neuron	mus_musculus	class
central nervous system macrophage	Mrc1, Pf4	CNS macrophage	Non-neuron	mus_musculus	class
microglial cell	TMEM119, P2RY12	Microglia	Non-neuron	mus_musculus	class
oligodendrocyte	MOG, MBP	Oligodendrocyte	Non-neuron	mus_musculus	class
oligodendrocyte precursor cell	PDGFRA	OPC	Non-neuron	mus_musculus	class
neural stem cell	SOX2, NES	Neural stem	Neuroglioblast	mus_musculus	class
VIP GABAergic interneuron	VIP	VIP	GABAergic	homo_sapiens	class
pvalb GABAergic cortical interneuron	PVALB	PVALB	GABAergic	homo_sapiens	class
chandelier pvalb GABAergic cortical interneuron	PVALB, VIPR2	Chandelier	GABAergic	homo_sapiens	class
sst GABAergic cortical interneuron	SST	SST	GABAergic	homo_sapiens	class
lamp5 GABAergic cortical interneuron	LAMP5	LAMP5	GABAergic	homo_sapiens	class
sncg GABAergic cortical interneuron	SNCG	SNCG	GABAergic	homo_sapiens	class
PAX6 GABAergic cortical interneuron	PAX6	PAX6	GABAergic	homo_sapiens	class
L2/3-6 intratelencephalic projecting glutamatergic neuron	CUX2	L2/3-6 IT	Glutamatergic	homo_sapiens	class
deep layer non-IT	FEZF2, TLE4	Deep non-IT	Glutamatergic	homo_sapiens	class
astrocyte	GFAP, AQP4	Astrocyte	Non-neuron	homo_sapiens	class
brain vascular cell	CLDN5, PDGFRB	Vascular	Non-neuron	homo_sapiens	class
microglial cell	TMEM119, P2RY12	Microglia	Non-neuron	homo_sapiens	class
oligodendrocyte	MOG, MBP	Oligodendrocyte	Non-neuron	homo_sapiens	class
oligodendrocyte precursor cell	PDGFRA	OPC	Non-neuron	homo_sapiens	class
immune	PTPRC	Immune	Immune	homo_sapiens	class
